"Total cropland, by region and States, United States, 1945-2017",,,,,,,,,,,,,,,,
Regions and States,1945,1949,1954,1959,1964,1969,1974,1978,1982,1987,1992,1997,2002,2007,2012,2017
U.S. Total,"450,693","478,315","465,647","458,007","444,196","472,097","465,084","470,842","469,286","464,001","460,044","455,052","441,550","408,139","391,975","396,434"
